id,type,name,description,category,cause,event,impact,inherent_level,residual_level,owner_unit_id,owner_role_id,control_type,frequency,effectiveness,occurred_at,discovered_at,severity,loss_amount_vnd,source_file,data_origin,verification_status
KS-004,KiemSoat,Rà soát quyền truy cập định kỳ,,,,,,,,,VT-IT-SECURITY,Preventive,Hang quy,Hieu qua,,,,,controls_seed.csv,SYNTHETIC,VERIFIED
KS-005,KiemSoat,Kiểm thử khả năng chịu tải và chuyển đổi dự phòng,,,,,,,,,VT-IT-OPERATIONS,Preventive,Hang quy,Can cai thien,,,,,controls_seed.csv,SYNTHETIC,VERIFIED
KS-006,KiemSoat,Xác thực hai kênh với lệnh chuyển tiền ngoại lệ,,,,,,,,,VT-OPS-CONTROL,Preventive,Theo giao dich,Hieu qua,,,,,controls_seed.csv,SYNTHETIC,VERIFIED
KS-007,KiemSoat,Theo dõi SLA xử lý cảnh báo AML,,,,,,,,,VT-COMPLIANCE-AML,Detective,Hang ngay,Can cai thien,,,,,controls_seed.csv,SYNTHETIC,VERIFIED
KS-008,KiemSoat,Rà soát độc lập định giá tài sản bảo đảm,,,,,,,,,VT-CREDIT-REVIEW,Detective,Hang nam,Hieu qua,,,,,controls_seed.csv,SYNTHETIC,VERIFIED
KS-009,KiemSoat,Hiệu chỉnh luật phát hiện giao dịch gian lận,,,,,,,,,VT-OPS-CONTROL,Preventive,Hang thang,Can cai thien,,,,,controls_seed.csv,SYNTHETIC,VERIFIED
KS-010,KiemSoat,Đối chiếu dữ liệu nguồn trước khi phát hành báo cáo,,,,,,,,,VT-FINANCE-REPORTING,Detective,Hang thang,Hieu qua,,,,,controls_seed.csv,SYNTHETIC,VERIFIED
SK-001,SuKienRuiRo,Sai lệch trạng thái giao dịch được phát hiện khi đối soát cuối ngày,Sai lệch trạng thái giao dịch được phát hiện khi đối soát cuối ngày,,,,,,,,,,,,2024-03-15,2024-03-15,Trung binh,85000000,risk_events_seed.csv,SYNTHETIC,VERIFIED
SK-002,SuKienRuiRo,Hồ sơ tín dụng được phê duyệt vượt hạn mức của người phê duyệt,Hồ sơ tín dụng được phê duyệt vượt hạn mức của người phê duyệt,,,,,,,,,,,,2024-04-02,2024-04-05,Cao,0,risk_events_seed.csv,SYNTHETIC,VERIFIED
SK-003,SuKienRuiRo,Giải ngân trước khi hoàn thiện chứng từ bảo đảm,Giải ngân trước khi hoàn thiện chứng từ bảo đảm,,,,,,,,,,,,2024-04-18,2024-04-18,Cao,120000000,risk_events_seed.csv,SYNTHETIC,VERIFIED
SK-004,SuKienRuiRo,Tài khoản có quyền truy cập dữ liệu vượt phạm vi công việc,Tài khoản có quyền truy cập dữ liệu vượt phạm vi công việc,,,,,,,,,,,,2024-05-06,2024-05-07,Cao,0,risk_events_seed.csv,SYNTHETIC,VERIFIED
SK-005,SuKienRuiRo,Dịch vụ ngân hàng số gián đoạn trong giờ cao điểm,Dịch vụ ngân hàng số gián đoạn trong giờ cao điểm,,,,,,,,,,,,2024-05-21,2024-05-21,Cao,0,risk_events_seed.csv,SYNTHETIC,VERIFIED
SK-006,SuKienRuiRo,Yêu cầu chuyển tiền giả mạo được xử lý trước khi bị thu hồi,Yêu cầu chuyển tiền giả mạo được xử lý trước khi bị thu hồi,,,,,,,,,,,,2024-06-11,2024-06-11,Cao,230000000,risk_events_seed.csv,SYNTHETIC,VERIFIED
SK-007,SuKienRuiRo,Báo cáo giao dịch đáng ngờ nộp quá hạn nội bộ,Báo cáo giao dịch đáng ngờ nộp quá hạn nội bộ,,,,,,,,,,,,2024-06-28,2024-07-03,Trung binh,0,risk_events_seed.csv,SYNTHETIC,VERIFIED
SK-008,SuKienRuiRo,Rà soát phát hiện giá trị tài sản bảo đảm đã hết hiệu lực,Rà soát phát hiện giá trị tài sản bảo đảm đã hết hiệu lực,,,,,,,,,,,,2024-07-10,2024-07-15,Cao,0,risk_events_seed.csv,SYNTHETIC,VERIFIED
SK-009,SuKienRuiRo,Giao dịch bất thường chỉ bị phát hiện sau khi khách hàng khiếu nại,Giao dịch bất thường chỉ bị phát hiện sau khi khách hàng khiếu nại,,,,,,,,,,,,2024-07-22,2024-07-23,Cao,175000000,risk_events_seed.csv,SYNTHETIC,VERIFIED
SK-010,SuKienRuiRo,Báo cáo quản trị sử dụng dữ liệu nguồn chưa đối chiếu,Báo cáo quản trị sử dụng dữ liệu nguồn chưa đối chiếu,,,,,,,,,,,,2024-08-02,2024-08-05,Trung binh,0,risk_events_seed.csv,SYNTHETIC,VERIFIED
SK-011,SuKienRuiRo,Nhà cung cấp chậm khôi phục dịch vụ so với SLA,Nhà cung cấp chậm khôi phục dịch vụ so với SLA,,,,,,,,,,,,2024-08-14,2024-08-14,Trung binh,0,risk_events_seed.csv,SYNTHETIC,VERIFIED
SK-012,SuKienRuiRo,Kiểm tra sau mua sắm phát hiện thiếu kê khai xung đột lợi ích,Kiểm tra sau mua sắm phát hiện thiếu kê khai xung đột lợi ích,,,,,,,,,,,,2024-09-03,2024-09-12,Trung binh,0,risk_events_seed.csv,SYNTHETIC,VERIFIED
