chunk_id,document_id,text,source_file,title,so_ky_hieu,loai_van_ban,co_quan_ban_hanh,ngay_ban_hanh,chapter,section,article,citation,allowed_roles
doc_agr_fx04_01,agr_fx04,Hoạt động kinh doanh và cung ứng dịch vụ ngoại hối của Agribank tuân thủ tuyệt đối trần trạng thái ngoại tệ cuối ngày không vượt quá +/- 15% so với vốn tự có của Agribank. Mọi giao dịch ngoại hối vượt 100.000 USD phải có tài liệu chứng minh mục đích thanh toán hợp pháp.,agribank_internal_policies.csv,Quy định nội bộ số 410/QĐ-NHNO-TTNH về Quản lý trạng thái ngoại tệ và giao dịch ngoại hối Agribank,410/QĐ-NHNO-TTNH,Quy định nội bộ,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),05/09/2024,Chương I QUẢN LÝ TRẠNG THÁI NGOẠI TỆ,Mục 1. Hạn mức ngoại tệ,Điều 6. Tỷ lệ trạng thái ngoại tệ tối đa,[410/QĐ-NHNO-TTNH - Quy định nội bộ số 410/QĐ-NHNO-TTNH | Điều 6 | doc_agr_fx04_01],"[""Admin"", ""Risk_Manager""]"
doc_agr_fx04_02,agr_fx04,Agribank cung cấp dịch vụ đại lý ủy thác đầu tư gián tiếp ra nước ngoài cho khách hàng tổ chức tuân thủ định mức tự do hóa giao dịch vốn của Ngân hàng Nhà nước và Bộ Tài chính quy định tại Thông tư 105/2016/TT-BTC.,agribank_internal_policies.csv,Quy định nội bộ số 410/QĐ-NHNO-TTNH về Quản lý trạng thái ngoại tệ và giao dịch ngoại hối Agribank,410/QĐ-NHNO-TTNH,Quy định nội bộ,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),05/09/2024,Chương II ĐẦU TƯ GIÁN TIẾP NƯỚC NGOÀI,Mục 2. Ủy thác đầu tư,Điều 19. Hồ sơ đại lý ủy thác đầu tư vốn gián tiếp,[410/QĐ-NHNO-TTNH - Quy định nội bộ số 410/QĐ-NHNO-TTNH | Điều 19 | doc_agr_fx04_02],"[""Admin"", ""Risk_Manager""]"
doc_agr_gp05_01,agr_gp05,"Điều kiện mở mới Phòng Giao dịch Agribank tại khu vực đô thị yêu cầu Chi nhánh chủ quản có thời gian hoạt động tối thiểu 12 tháng, tỷ lệ nợ xấu dưới 2.0% và đáp ứng các tiêu chuẩn hồ sơ theo Thông tư 56/2024/TT-NHNN.",agribank_internal_policies.csv,Quy chế số 520/QC-NHNO-MANGLUOI về Mở rộng mạng lưới chi nhánh và phòng giao dịch Agribank,520/QC-NHNO-MANGLUOI,Quy chế nội bộ,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),18/11/2024,Chương I ĐIỀU KIỆN MỞ MẠNG LƯỚI,Mục 1. Tiêu chuẩn PGD,Điều 7. Điều kiện thành lập Phòng Giao dịch mới,[520/QC-NHNO-MANGLUOI - Quy chế số 520/QC-NHNO-MANGLUOI | Điều 7 | doc_agr_gp05_01],"[""Admin"", ""Risk_Manager"", ""Staff""]"
doc_agr_gp05_02,agr_gp05,Hồ sơ thủ tục chấp thuận tổ chức lại chi nhánh hoặc sáp nhập các điểm giao dịch Agribank phải được Hội đồng Thành viên Agribank phê duyệt trước khi gửi văn bản đề nghị lên Thống đốc Ngân hàng Nhà nước.,agribank_internal_policies.csv,Quy chế số 520/QC-NHNO-MANGLUOI về Mở rộng mạng lưới chi nhánh và phòng giao dịch Agribank,520/QC-NHNO-MANGLUOI,Quy chế nội bộ,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),18/11/2024,Chương II TỔ CHỨC LẠI ĐIỂM GIAO DỊCH,Mục 2. Quy trình trình phê duyệt,Điều 15. Trình tự xin cấp phép sáp nhập điểm giao dịch,[520/QC-NHNO-MANGLUOI - Quy chế số 520/QC-NHNO-MANGLUOI | Điều 15 | doc_agr_gp05_02],"[""Admin"", ""Risk_Manager""]"
doc_agr_bh06_01,agr_bh06,Agribank bắt buộc mua bảo hiểm rủi ro tiền mặt tại kho và tiền mặt trên đường vận chuyển (BBB Insurance) với hạn mức bồi thường tối thiểu bằng 100% giá trị tài sản vận chuyển tối đa định mức.,agribank_internal_policies.csv,Quy định nội bộ số 180/QĐ-NHNO-BH về Mua bảo hiểm rủi ro nghiệp vụ và tài sản Agribank,180/QĐ-NHNO-BH,Quy định nội bộ,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),14/02/2024,Chương I BẢO HIỂM TIỀN MẶT VÀ KHO TIỀN,Mục 1. Hạn mức bảo hiểm,Điều 5. Mua bảo hiểm BBB cho tiền mặt kho vận,[180/QĐ-NHNO-BH - Quy định nội bộ số 180/QĐ-NHNO-BH | Điều 5 | doc_agr_bh06_01],"[""Admin"", ""Risk_Manager"", ""Staff""]"
doc_agr_bh06_02,agr_bh06,"Các sản phẩm bảo hiểm nhân thọ và phi nhân thọ đại lý qua Agribank (Bancassurance) phải công khai minh bạch cho khách hàng, nghiêm cấm cán bộ ép buộc khách hàng vay vốn mua bảo hiểm kèm theo khoản vay.",agribank_internal_policies.csv,Quy định nội bộ số 180/QĐ-NHNO-BH về Mua bảo hiểm rủi ro nghiệp vụ và tài sản Agribank,180/QĐ-NHNO-BH,Quy định nội bộ,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),14/02/2024,Chương II HOẠT ĐỘNG ĐẠI LÝ BẢO HIỂM BANCASSURANCE,Mục 2. Quy tắc đạo đức đại lý,Điều 21. Cấm gắn kèm bắt buộc mua bảo hiểm khi vay vốn,[180/QĐ-NHNO-BH - Quy định nội bộ số 180/QĐ-NHNO-BH | Điều 21 | doc_agr_bh06_02],"[""Admin"", ""Risk_Manager"", ""Staff""]"
doc_agr_it07_01,agr_it07,Hệ thống RAG và các ứng dụng AI tra cứu quy định Agribank phải tuân thủ chính sách bảo mật dữ liệu theo cấp độ 3 An toàn thông tin. Tất cả các dữ liệu nhạy cảm lưu trữ phải được mã hóa AES-128/Fernet at-rest.,agribank_internal_policies.csv,Quy chế bảo mật CNTT số 600/QC-NHNO-CNTT về An toàn thông tin và Quản trị dữ liệu AI Agribank,600/QC-NHNO-CNTT,Quy chế nội bộ,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),01/03/2025,Chương I BẢO BỆ DỮ LIỆU TĨNH,Mục 1. Mã hóa dữ liệu at-rest,Điều 9. Tiêu chuẩn mã hóa dữ liệu ứng dụng AI,[600/QC-NHNO-CNTT - Quy chế bảo mật CNTT số 600/QC-NHNO-CNTT | Điều 9 | doc_agr_it07_01],"[""Admin"", ""Risk_Manager""]"
doc_agr_it07_02,agr_it07,"Nhật ký hệ thống (Audit Trail) của ứng dụng RAG Agribank ghi lại toàn bộ timestamp, user_id, user_role, query, access decision và candidate filtered. Tệp log bắt buộc định dạng JSON Lines và lưu vết tối thiểu 12 tháng.",agribank_internal_policies.csv,Quy chế bảo mật CNTT số 600/QC-NHNO-CNTT về An toàn thông tin và Quản trị dữ liệu AI Agribank,600/QC-NHNO-CNTT,Quy chế nội bộ,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),01/03/2025,Chương II QUẢN LÝ AUDIT LOG,Mục 2. Lưu trữ nhật ký truy cập,Điều 16. Thời hạn lưu trữ và trường thông tin Audit Log,[600/QC-NHNO-CNTT - Quy chế bảo mật CNTT số 600/QC-NHNO-CNTT | Điều 16 | doc_agr_it07_02],"[""Admin"", ""Risk_Manager""]"
doc_agr_hr08_01,agr_hr08,"Tiêu chuẩn bổ nhiệm Giám đốc Chi nhánh Agribank yêu cầu trình độ Đại học trở lên chuyên ngành Kinh tế, Tài chính, Ngân hàng; có thời gian công tác tối thiểu 05 năm trong ngành ngân hàng và 03 năm giữ chức vụ quản lý cấp Phòng trở lên.",agribank_internal_policies.csv,"Quy định nội bộ số 88/QĐ-NHNO-NS về Quy hoạch, bổ nhiệm và quản lý nhân sự Agribank",88/QĐ-NHNO-NS,Quy định nội bộ,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),10/01/2025,Chương I BỔ NHIỆM CÁN BỘ QUẢN LÝ,Mục 1. Tiêu chuẩn bổ nhiệm Giám đốc,Điều 6. Tiêu chuẩn bổ nhiệm Giám đốc Chi nhánh,[88/QĐ-NHNO-NS - Quy định nội bộ số 88/QĐ-NHNO-NS | Điều 6 | doc_agr_hr08_01],"[""Admin"", ""HR""]"
doc_agr_hr08_02,agr_hr08,Mỗi cán bộ nhân viên Agribank bắt buộc hoàn thành tối thiểu 40 giờ đào tạo chuyên môn nghiệp vụ và kiểm tra tuân thủ quy định nội bộ hàng năm thông qua Trường Cán bộ Agribank.,agribank_internal_policies.csv,"Quy định nội bộ số 88/QĐ-NHNO-NS về Quy hoạch, bổ nhiệm và quản lý nhân sự Agribank",88/QĐ-NHNO-NS,Quy định nội bộ,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),10/01/2025,Chương II ĐÀO TẠO VÀ PHÁT TRIỂN NGUỒN NHÂN LỰC,Mục 2. Định mức thời lượng đào tạo,Điều 19. Nghĩa vụ thời lượng học tập nâng cao nghiệp vụ,[88/QĐ-NHNO-NS - Quy định nội bộ số 88/QĐ-NHNO-NS | Điều 19 | doc_agr_hr08_02],"[""Admin"", ""HR""]"
doc_agr_tc09_01,agr_tc09,Hạn mức duyệt chi mua sắm tài sản cố định và sửa chữa lớn tại Chi nhánh Agribank loại I do Giám đốc Chi nhánh quyết định là dưới 500 triệu đồng. Các gói mua sắm từ 500 triệu đến 5 tỷ đồng phải trình Trụ sở chính phê duyệt.,agribank_internal_policies.csv,Quy chế tài chính số 720/QC-NHNO-TC về Chế độ chi tiêu và mua sắm tài sản nội bộ Agribank,720/QC-NHNO-TC,Quy chế nội bộ,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),05/12/2024,Chương I MUA SẮM VÀ SỬA CHỮA TÀI SẢN,Mục 1. Phân cấp hạn mức duyệt chi,Điều 11. Thẩm quyền quyết định mua sắm tài sản cố định,[720/QC-NHNO-TC - Quy chế tài chính số 720/QC-NHNO-TC | Điều 11 | doc_agr_tc09_01],"[""Admin"", ""Risk_Manager"", ""Staff""]"
doc_agr_tc09_02,agr_tc09,Mọi khoản trích lập quỹ dự phòng rủi ro tài chính và chi phí nghiệp vụ bảo hiểm tài sản được hạch toán đầy đủ vào chi phí hoạt động của Agribank trong kỳ kế toán theo quy định kế toán ngân hàng.,agribank_internal_policies.csv,Quy chế tài chính số 720/QC-NHNO-TC về Chế độ chi tiêu và mua sắm tài sản nội bộ Agribank,720/QC-NHNO-TC,Quy chế nội bộ,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),05/12/2024,Chương II HẠCH TOÁN CHI PHÍ NGHIỆP VỤ,Mục 2. Hạch toán dự phòng rủi ro,Điều 24. Chế độ hạch toán chi phí bảo hiểm và dự phòng,[720/QC-NHNO-TC - Quy chế tài chính số 720/QC-NHNO-TC | Điều 24 | doc_agr_tc09_02],"[""Admin"", ""Risk_Manager""]"
doc_agr_xln10_01,agr_xln10,"Tất cả các khoản nợ quá hạn từ 90 ngày trở lên (Nợ nhóm 3 đến nhóm 5) phải được phân loại và chuyển Tổ Xử lý nợ xấu Chi nhánh Agribank theo dõi, áp dụng các biện pháp thu hồi nợ hoặc xử lý tài sản thế chấp.",agribank_internal_policies.csv,Quy định nội bộ số 390/QĐ-NHNO-XLN về Phân loại nợ và Xử lý nợ xấu tại Agribank,390/QĐ-NHNO-XLN,Quy định nội bộ,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),22/07/2024,Chương I PHÂN LOẠI NỢ VÀ TRÍCH LẬP DỰ PHÒNG,Mục 1. Nhận biết nợ xấu,Điều 10. Chuyển nhóm nợ xấu và tổ chức xử lý,[390/QĐ-NHNO-XLN - Quy định nội bộ số 390/QĐ-NHNO-XLN | Điều 10 | doc_agr_xln10_01],"[""Admin"", ""Risk_Manager""]"
doc_agr_xln10_02,agr_xln10,"Việc cơ cấu lại thời hạn trả nợ và giữ nguyên nhóm nợ cho khách hàng gặp khó khăn do thiên tai, dịch bệnh được thực hiện theo đúng hướng dẫn của Ngân hàng Nhà nước và phải được Hội đồng Rủi ro Agribank thông qua.",agribank_internal_policies.csv,Quy định nội bộ số 390/QĐ-NHNO-XLN về Phân loại nợ và Xử lý nợ xấu tại Agribank,390/QĐ-NHNO-XLN,Quy định nội bộ,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),22/07/2024,Chương II CƠ CẤU LẠI THỜI HẠN TRẢ NỢ,Mục 2. Thẩm quyền giữ nguyên nhóm nợ,Điều 23. Cơ cấu lại nợ khách hàng gặp thiên tai,[390/QĐ-NHNO-XLN - Quy định nội bộ số 390/QĐ-NHNO-XLN | Điều 23 | doc_agr_xln10_02],"[""Admin"", ""Risk_Manager""]"
